127.0.0.1 - - [18/Jan/2023:08:52:41 +0900] "GET / HTTP/1.1" 404 633
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:52:44 +0900] "GET /springweb/project_5/eshopper-1.0.0/shop.html HTTP/1.1" 200 37764
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:52:44 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-8.jpg HTTP/1.1" 200 17919
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:52:44 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-6.jpg HTTP/1.1" 200 14759
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:52:44 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-7.jpg HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:52:45 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/favicon.ico HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/index.html HTTP/1.1" 200 43935
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/carousel-1.jpg HTTP/1.1" 200 180418
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/carousel-2.jpg HTTP/1.1" 200 142390
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/offer-1.png HTTP/1.1" 200 51525
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/offer-2.png HTTP/1.1" 200 59009
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-1.jpg HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-2.jpg HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-3.jpg HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-4.jpg HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-6.jpg HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-5.jpg HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-8.jpg HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:11 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-7.jpg HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [18/Jan/2023:08:56:12 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/favicon.ico HTTP/1.1" 404 873
